last_changed,state
1738681434299,3306.9
1738684063417,3307.0
1738685848503,3307.1
1738687393577,3307.2
1738689023657,3307.3
1738691321769,3307.4
1738693909883,3307.5
1738695899979,3307.6
1738697092660,3307.7
1738698614735,3307.8
1738700210149,3307.9
1738702681260,3308.0
1738705318708,3308.1
1738706837773,3308.2
1738708233841,3308.3
1738709722908,3308.4
1738709823913,3308.5
1738709858914,3308.6
1738709928917,3308.7
1738710008920,3308.8
1738710089925,3308.9
1738710145927,3309.0
1738710205930,3309.1
1738710275933,3309.2
1738710344936,3309.3
1738710415939,3309.4
1738710485946,3309.5
1738710551946,3309.6
1738710636949,3309.7
1738710691951,3309.8
1738710766960,3309.9
1738710966970,3310.0
1738713393245,3310.1
1738713867376,3310.1
1738715117495,3310.2
1738716817513,3310.3
1738718378575,3310.4
1738719963646,3310.5
1738723053795,3310.6
1738726235941,3310.7
1738727976028,3310.8
1738729821114,3310.9
1738732516246,3311.0
1738735336384,3311.1
1738737321489,3311.2
1738738941548,3311.3
1738740936635,3311.4
1738743746779,3311.5
1738746541912,3311.6
1738748011968,3311.7
1738749522041,3311.8
1738751862156,3311.9
1738754722289,3312.0
1738757135417,3312.1
1738758710492,3312.2
1738760345554,3312.3
1738760420553,3312.4
1738760490558,3312.5
1738760560559,3312.6
1738760635563,3312.7
1738760705567,3312.8
1738760775572,3312.9
1738760850572,3313.0
1738761225591,3313.1
1738763775715,3313.2
1738766330834,3313.3
1738767805904,3313.4
1738768760947,3313.5
1738769645991,3313.6
1738770781044,3313.7
1738773471179,3313.8
1738776121296,3313.9
1738777621369,3314.0
1738779111440,3314.1
1738780871525,3314.2
1738783582660,3314.3
1738786167772,3314.4
1738787727847,3314.5
1738789397934,3314.6
1738791153009,3314.7
1738793803137,3314.8
1738796313259,3314.9
1738797828336,3315.0
1738799408400,3315.1
1738801303494,3315.2
1738802968575,3315.3
1738805262680,3315.4
1738807253777,3315.5
1738808868846,3315.6
1738810613927,3315.7
1738813469065,3315.8
1738816319198,3315.9
1738818039276,3316.0
1738819644362,3316.1
1738821854468,3316.2
1738824664593,3316.3
1738827164713,3316.4
1738828730823,3316.5
1738830346869,3316.6
1738832921986,3316.7
1738835742119,3316.8
1738837321191,3316.9
1738838411242,3317.0
1738839561295,3317.1
1738840771356,3317.2
1738841316386,3317.3
1738841386398,3317.4
1738841456392,3317.5
1738841526399,3317.6
1738841601399,3317.7
1738841671402,3317.8
1738841746405,3317.9
1738841816411,3318.0
1738841886415,3318.1
1738841961419,3318.2
1738842031421,3318.3
1738842101423,3318.4
1738842176429,3318.5
1738842246435,3318.6
1738842316436,3318.7
1738843361490,3318.8
1738846316631,3318.9
1738848262707,3319.0
1738849757785,3319.1
1738851392862,3319.2
1738853782975,3319.3
1738856473099,3319.4
1738857748159,3319.5
1738858753256,3319.6
1738859743248,3319.7
1738860758296,3319.8
1738861950348,3319.9
1738863311407,3320.0
1738864706495,3320.1
1738866171590,3320.2
1738867571626,3320.3
1738868591677,3320.4
1738869666727,3320.5
1738870761775,3320.6
1738871956838,3320.7
1738873461904,3320.8
1738874981977,3320.9
1738876522052,3321.0
1738877672106,3321.1
1738878765161,3321.2
1738879888214,3321.3
